70 unique phonemes
70 unique phonemes
70 unique phonemes
70 unique phonemes
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
{'loss': 5.2449, 'grad_norm': 18.742965698242188, 'learning_rate': 1.2132241431604489e-05, 'epoch': 0.36}
{'loss': 5.2211, 'grad_norm': 6.729567050933838, 'learning_rate': 1.2283894449499546e-05, 'epoch': 0.37}
{'loss': 5.1878, 'grad_norm': 7.865788459777832, 'learning_rate': 1.2435547467394603e-05, 'epoch': 0.37}
{'loss': 5.2, 'grad_norm': 9.714071273803711, 'learning_rate': 1.2587200485289657e-05, 'epoch': 0.38}
{'loss': 5.129, 'grad_norm': 9.147224426269531, 'learning_rate': 1.2738853503184714e-05, 'epoch': 0.38}
{'loss': 5.1262, 'grad_norm': 14.91648006439209, 'learning_rate': 1.2890506521079771e-05, 'epoch': 0.39}
{'loss': 5.1606, 'grad_norm': 11.945008277893066, 'learning_rate': 1.3042159538974826e-05, 'epoch': 0.39}
{'loss': 5.1462, 'grad_norm': 7.438052177429199, 'learning_rate': 1.3193812556869883e-05, 'epoch': 0.4}
{'loss': 5.124, 'grad_norm': 6.0597243309021, 'learning_rate': 1.3345465574764937e-05, 'epoch': 0.4}
{'loss': 5.0654, 'grad_norm': 7.527188301086426, 'learning_rate': 1.3497118592659994e-05, 'epoch': 0.4}
{'loss': 5.0585, 'grad_norm': 5.057722091674805, 'learning_rate': 1.364877161055505e-05, 'epoch': 0.41}
{'loss': 5.0765, 'grad_norm': 8.86921215057373, 'learning_rate': 1.3800424628450107e-05, 'epoch': 0.41}
{'loss': 5.0804, 'grad_norm': 10.64984130859375, 'learning_rate': 1.3952077646345164e-05, 'epoch': 0.42}
{'loss': 5.0451, 'grad_norm': 12.696287155151367, 'learning_rate': 1.4103730664240219e-05, 'epoch': 0.42}
{'loss': 5.0453, 'grad_norm': 63.38561248779297, 'learning_rate': 1.4255383682135276e-05, 'epoch': 0.43}
{'loss': 5.0312, 'grad_norm': 17.216161727905273, 'learning_rate': 1.4407036700030333e-05, 'epoch': 0.43}
{'loss': 5.0054, 'grad_norm': 124.65914916992188, 'learning_rate': 1.4558689717925387e-05, 'epoch': 0.44}
{'loss': 4.9777, 'grad_norm': 15.254984855651855, 'learning_rate': 1.4710342735820442e-05, 'epoch': 0.44}
{'loss': 4.9263, 'grad_norm': 18.222089767456055, 'learning_rate': 1.48619957537155e-05, 'epoch': 0.45}
{'loss': 4.912, 'grad_norm': 15.270100593566895, 'learning_rate': 1.5013648771610556e-05, 'epoch': 0.45}
{'loss': 4.9706, 'grad_norm': 10.257935523986816, 'learning_rate': 1.5165301789505612e-05, 'epoch': 0.45}
{'loss': 4.9779, 'grad_norm': 17.000932693481445, 'learning_rate': 1.531695480740067e-05, 'epoch': 0.46}
{'loss': 4.9007, 'grad_norm': 9.058112144470215, 'learning_rate': 1.5468607825295726e-05, 'epoch': 0.46}
{'loss': 4.9049, 'grad_norm': 86.91631317138672, 'learning_rate': 1.5620260843190783e-05, 'epoch': 0.47}
{'loss': 4.8993, 'grad_norm': 21.071802139282227, 'learning_rate': 1.5771913861085837e-05, 'epoch': 0.47}
{'loss': 4.8318, 'grad_norm': 16.199748992919922, 'learning_rate': 1.592356687898089e-05, 'epoch': 0.48}
{'loss': 4.8585, 'grad_norm': 12.638544082641602, 'learning_rate': 1.6075219896875947e-05, 'epoch': 0.48}
{'loss': 4.779, 'grad_norm': 15.180243492126465, 'learning_rate': 1.6226872914771004e-05, 'epoch': 0.49}
{'loss': 4.8041, 'grad_norm': 24.94264793395996, 'learning_rate': 1.637852593266606e-05, 'epoch': 0.49}
{'loss': 4.8248, 'grad_norm': 13.376496315002441, 'learning_rate': 1.653017895056112e-05, 'epoch': 0.5}
{'loss': 4.7292, 'grad_norm': 24.717187881469727, 'learning_rate': 1.6681831968456176e-05, 'epoch': 0.5}
{'loss': 4.7249, 'grad_norm': 11.337746620178223, 'learning_rate': 1.683348498635123e-05, 'epoch': 0.51}
{'loss': 4.6695, 'grad_norm': 13.63611888885498, 'learning_rate': 1.6985138004246283e-05, 'epoch': 0.51}
{'loss': 4.6695, 'grad_norm': 10.077934265136719, 'learning_rate': 1.713679102214134e-05, 'epoch': 0.51}
{'loss': 4.6486, 'grad_norm': 6.861268997192383, 'learning_rate': 1.7288444040036397e-05, 'epoch': 0.52}
{'loss': 4.6005, 'grad_norm': 10.170440673828125, 'learning_rate': 1.7440097057931454e-05, 'epoch': 0.52}
{'loss': 4.588, 'grad_norm': 5.204003810882568, 'learning_rate': 1.759175007582651e-05, 'epoch': 0.53}
{'loss': 4.543, 'grad_norm': 37.97001647949219, 'learning_rate': 1.7743403093721568e-05, 'epoch': 0.53}
{'loss': 4.5599, 'grad_norm': 31.09746551513672, 'learning_rate': 1.7895056111616622e-05, 'epoch': 0.54}
{'loss': 4.7312, 'grad_norm': 14.644813537597656, 'learning_rate': 1.8046709129511676e-05, 'epoch': 0.54}
{'loss': 4.6087, 'grad_norm': 14.784472465515137, 'learning_rate': 1.8198362147406733e-05, 'epoch': 0.55}
{'loss': 4.493, 'grad_norm': 6.185542106628418, 'learning_rate': 1.835001516530179e-05, 'epoch': 0.55}
{'loss': 4.4005, 'grad_norm': 5.5682477951049805, 'learning_rate': 1.8501668183196847e-05, 'epoch': 0.56}
{'loss': 4.3515, 'grad_norm': 5.74127197265625, 'learning_rate': 1.8653321201091904e-05, 'epoch': 0.56}
{'loss': 4.2726, 'grad_norm': 6.265986442565918, 'learning_rate': 1.880497421898696e-05, 'epoch': 0.56}
{'loss': 4.252, 'grad_norm': 8.611082077026367, 'learning_rate': 1.8956627236882015e-05, 'epoch': 0.57}
{'loss': 4.2308, 'grad_norm': 6.813766002655029, 'learning_rate': 1.910828025477707e-05, 'epoch': 0.57}
{'loss': 4.1551, 'grad_norm': 3.540797472000122, 'learning_rate': 1.9259933272672125e-05, 'epoch': 0.58}
{'loss': 4.0218, 'grad_norm': 3.4891319274902344, 'learning_rate': 1.9411586290567182e-05, 'epoch': 0.58}
{'loss': 4.0355, 'grad_norm': 6.778067111968994, 'learning_rate': 1.956323930846224e-05, 'epoch': 0.59}
{'loss': 3.9863, 'grad_norm': 4.453974723815918, 'learning_rate': 1.9714892326357297e-05, 'epoch': 0.59}
{'loss': 3.9517, 'grad_norm': 6.392993927001953, 'learning_rate': 1.9866545344252354e-05, 'epoch': 0.6}
